year,subbasin,water_right_date,water_right_cat,shut_off_date,shut_off_julian
2001,bw_ab_magic,3/24/1883,A,8/14/00,227
2001,bw_ab_magic,10/14/1884,B,7/24/01,205
2001,bw_ab_magic,6/1/1886,C,7/24/01,205
2001,bw_bl_magic,3/24/1883,A,7/1/01,182
2001,bw_bl_magic,10/14/1884,B,7/1/01,182
2001,bw_bl_magic,6/1/1886,C,7/1/01,182
2001,sc_lw,3/24/1883,A,10/1/01,274
2001,sc_lw,10/14/1884,B,5/22/01,142
2001,sc_lw,6/1/1886,C,4/2/01,92
2002,bw_ab_magic,3/24/1883,A,8/29/02,241
2002,bw_ab_magic,10/14/1884,B,7/11/02,192
2002,bw_ab_magic,6/1/1886,C,7/3/02,184
2002,bw_bl_magic,3/24/1883,A,10/1/02,274
2002,bw_bl_magic,10/14/1884,B,10/1/02,274
2002,bw_bl_magic,6/1/1886,C,10/1/02,274
2002,sc_lw,3/24/1883,A,10/1/02,274
2002,sc_lw,10/14/1884,B,7/16/02,197
2002,sc_lw,6/1/1886,C,7/9/02,190
2003,bw_ab_magic,3/24/1883,A,8/28/03,240
2003,bw_ab_magic,10/14/1884,B,7/15/03,196
2003,bw_ab_magic,6/1/1886,C,7/9/03,190
2003,bw_bl_magic,3/24/1883,A,10/1/03,274
2003,bw_bl_magic,10/14/1884,B,10/1/03,274
2003,bw_bl_magic,6/1/1886,C,8/13/03,225
2003,sc_lw,3/24/1883,A,10/1/03,274
2003,sc_lw,10/14/1884,B,7/24/03,205
2003,sc_lw,6/1/1886,C,7/9/03,190
2004,bw_ab_magic,3/24/1883,A,8/27/04,240
2004,bw_ab_magic,10/14/1884,B,7/12/04,194
2004,bw_ab_magic,6/1/1886,C,7/7/04,189
2004,bw_bl_magic,3/24/1883,A,7/6/04,188
2004,bw_bl_magic,10/14/1884,B,7/6/04,188
2004,bw_bl_magic,6/1/1886,C,7/6/04,188
2004,sc_lw,3/24/1883,A,10/1/04,275
2004,sc_lw,10/14/1884,B,7/19/04,201
2004,sc_lw,6/1/1886,C,7/12/04,194
2005,bw_ab_magic,3/24/1883,A,9/5/05,248
2005,bw_ab_magic,10/14/1884,B,8/12/05,224
2005,bw_ab_magic,6/1/1886,C,7/22/05,203
2005,bw_bl_magic,3/24/1883,A,9/11/05,254
2005,bw_bl_magic,10/14/1884,B,9/11/05,254
2005,bw_bl_magic,6/1/1886,C,9/11/05,254
2005,sc_lw,3/24/1883,A,10/1/05,274
2005,sc_lw,10/14/1884,B,10/1/05,274
2005,sc_lw,6/1/1886,C,10/1/05,274
2006,bw_ab_magic,3/24/1883,A,10/1/06,274
2006,bw_ab_magic,10/14/1884,B,8/14/06,226
2006,bw_ab_magic,6/1/1886,C,8/8/06,220
2006,bw_bl_magic,3/24/1883,A,10/1/06,274
2006,bw_bl_magic,10/14/1884,B,10/1/06,274
2006,bw_bl_magic,6/1/1886,C,7/27/06,208
2006,sc_lw,3/24/1883,A,10/1/06,274
2006,sc_lw,10/14/1884,B,10/1/06,274
2006,sc_lw,6/1/1886,C,10/1/06,274
2007,bw_ab_magic,3/24/1883,A,7/17/07,198
2007,bw_ab_magic,10/14/1884,B,7/2/07,183
2007,bw_ab_magic,6/1/1886,C,6/26/07,177
2007,bw_bl_magic,3/24/1883,A,10/1/07,274
2007,bw_bl_magic,10/14/1884,B,8/14/07,226
2007,bw_bl_magic,6/1/1886,C,8/14/07,226
2007,sc_lw,3/24/1883,A,10/1/07,274
2007,sc_lw,10/14/1884,B,8/24/07,236
2007,sc_lw,6/1/1886,C,8/21/07,233
2008,bw_ab_magic,3/24/1883,A,9/10/08,254
2008,bw_ab_magic,10/14/1884,B,7/28/08,210
2008,bw_ab_magic,6/1/1886,C,7/24/08,206
2008,bw_bl_magic,3/24/1883,A,10/1/08,275
2008,bw_bl_magic,10/14/1884,B,10/1/08,275
2008,bw_bl_magic,6/1/1886,C,8/18/08,231
2008,sc_lw,3/24/1883,A,10/1/08,275
2008,sc_lw,10/14/1884,B,8/28/08,241
2008,sc_lw,6/1/1886,C,8/18/08,231
2009,bw_ab_magic,3/24/1883,A,10/1/09,274
2009,bw_ab_magic,10/14/1884,B,8/13/09,225
2009,bw_ab_magic,6/1/1886,C,8/3/09,215
2009,bw_bl_magic,3/24/1883,A,10/1/09,274
2009,bw_bl_magic,10/14/1884,B,10/1/09,274
2009,bw_bl_magic,6/1/1886,C,10/1/09,274
2009,sc_lw,3/24/1883,A,10/1/09,274
2009,sc_lw,10/14/1884,B,10/1/09,274
2009,sc_lw,6/1/1886,C,10/1/09,274
2010,bw_ab_magic,3/24/1883,A,10/1/10,274
2010,bw_ab_magic,10/14/1884,B,8/2/10,214
2010,bw_ab_magic,6/1/1886,C,7/28/10,209
2010,bw_bl_magic,3/24/1883,A,10/1/10,274
2010,bw_bl_magic,10/14/1884,B,10/1/10,274
2010,bw_bl_magic,6/1/1886,C,10/1/10,274
2010,sc_lw,3/24/1883,A,10/1/10,274
2010,sc_lw,10/14/1884,B,10/1/10,274
2010,sc_lw,6/1/1886,C,10/1/10,274
2011,bw_ab_magic,3/24/1883,A,10/1/11,274
2011,bw_ab_magic,10/14/1884,B,9/7/11,250
2011,bw_ab_magic,6/1/1886,C,9/2/11,245
